layer,subpath,op_type,medianMs,name80
model.23,one2one_cv3,conv+SiLU fused,0.008512,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv + PWN(PWN(/m
model.23,one2one_cv3,conv only,0.007968,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv
model.23,one2one_cv3,conv only,0.007968,/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv
model.23,one2one_cv3,conv only,0.007968,/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv
model.23,one2one_cv2,conv only,0.007776,/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv
model.23,one2one_cv3,conv only,0.007712,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv
model.23,one2one_cv2,conv only,0.007488,/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv
model.23,one2one_cv2,conv only,0.007456,/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv
model.23,one2one_cv3,conv only,0.007456,/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv
model.23,one2one_cv3,conv only,0.006944,/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv
model.23,one2one_cv3,conv only,0.006944,/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv
model.23,one2one_cv3,conv only,0.006688,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv
model.23,one2one_cv3,standalone SiLU,0.006432,"PWN(PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid), "
model.23,one2one_cv3,conv only,0.0064,/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv
model.23,one2one_cv3,standalone SiLU,0.006208,"PWN(PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Sigmoid), "
model.23,one2one_cv3,standalone SiLU,0.00592,"PWN(PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Sigmoid), "
model.23,one2one_cv3,standalone SiLU,0.00592,"PWN(PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Sigmoid), "
model.23,one2one_cv3,standalone SiLU,0.00592,"PWN(PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Sigmoid), "
model.23,one2one_cv3,standalone SiLU,0.005664,"PWN(PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Sigmoid), "
model.23,one2one_cv3,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.23/one2one_cv3.1/one2
model.23,one2one_cv3,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.23/one2one_cv3.1/one2one_cv3.
model.23,one2one_cv3,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.23/one2one_cv3.0/one2
model.23,one2one_cv3,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.23/one2one_cv3.0/one2one_cv3.
model.23,one2one_cv3,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.23/one2one_cv3.0/one2
model.23,one2one_cv3,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.23/one2one_cv3.0/one2one_cv3.
model.3,conv,conv+SiLU fused,0.01408,"/model.3/conv/Conv + PWN(PWN(/model.3/act/Sigmoid), PWN(/model.3/act/Mul))"
