name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
__myl_MulMinMaxRounCastResh_myl98_0,0.00612924,0.00608,0.325813,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.11/Resize,0.00679612,0.006752,0.361263,model.11,,False,False,False,False,False,other,False,QAT
/model.12/Concat_/model.11/Resize_output_0_clone_0 copy,0.00656689,0.006592,0.349078,model.12,,False,False,False,False,False,other,False,QAT
model.13.cv1.conv.weight + /model.13/cv1/conv/weight_quantizer/QuantizeLinear + /model.13/cv1/conv/Conv,0.00904755,0.009024,0.480943,model.13,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.13/cv1/act/Sigmoid, /model.13/cv1/act/Mul)",0.00637477,0.006368,0.338865,model.13,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCastResh_myl103_0,0.00583504,0.005824,0.310174,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.13.m.0.cv2.conv.weight + /model.13/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/cv2/conv/Conv + PWN(/model.13/m.0/cv2/act/Sigmoid, /model.13/m.0/cv2/act/Mul)",0.00789353,0.007872,0.419598,model.13,m.0/cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.13.m.0.cv1.conv.weight + /model.13/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/cv1/conv/Conv,0.00779761,0.007776,0.414499,model.13,m.0/cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.13/m.0/cv1/act/Sigmoid, /model.13/m.0/cv1/act/Mul)",0.00615418,0.006144,0.327139,model.13,m.0/cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl107_0,0.00577291,0.005792,0.306872,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.13.m.0.m.0.cv1.conv.weight + /model.13/m.0/m/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/m/m.0/cv1/conv/Conv + PWN(/model.13/m.0/m/m.0/cv1/act/Sigmoid, /model.13/m.0/m/m.0/cv1/act/Mul)",0.00932991,0.009312,0.495952,model.13,m.0/m/m.0/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.13.m.0.m.0.cv2.conv.weight + /model.13/m.0/m/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/m/m.0/cv2/conv/Conv,0.00899916,0.008992,0.47837,model.13,m.0/m/m.0/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.13/m.0/m/m.0/cv2/act/Sigmoid, /model.13/m.0/m/m.0/cv2/act/Mul), /model.13/m.0/m/m.0/Add)",0.00615741,0.006144,0.327311,model.13,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl111_0,0.00576593,0.00576,0.306501,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.13.m.0.m.1.cv1.conv.weight + /model.13/m.0/m/m.1/cv1/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/m/m.1/cv1/conv/Conv + PWN(/model.13/m.0/m/m.1/cv1/act/Sigmoid, /model.13/m.0/m/m.1/cv1/act/Mul)",0.00906969,0.009024,0.482119,model.13,m.0/m/m.1/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.13.m.0.m.1.cv2.conv.weight + /model.13/m.0/m/m.1/cv2/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/m/m.1/cv2/conv/Conv,0.00868939,0.008672,0.461904,model.13,m.0/m/m.1/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.13/m.0/m/m.1/cv2/act/Sigmoid, /model.13/m.0/m/m.1/cv2/act/Mul), /model.13/m.0/m/m.1/Add)",0.00664616,0.006624,0.353291,model.13,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
"model.13.m.0.cv3.conv.weight + /model.13/m.0/cv3/conv/weight_quantizer/QuantizeLinear + /model.13/m.0/cv3/conv/Conv + PWN(/model.13/m.0/cv3/act/Sigmoid, /model.13/m.0/cv3/act/Mul)",0.00802553,0.008,0.426615,model.13,m.0/cv3,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_CastMulMinMaxRounCast_myl116_0,0.00610681,0.00608,0.324621,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_CastMulMinMaxRounCastResh_myl117_0,0.00580605,0.005792,0.308633,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.13/Concat_/model.13/Slice_output_0_clone_0 copy,0.00617725,0.006112,0.328365,model.13,,False,False,False,False,False,other,False,QAT
model.13.cv2.conv.weight + /model.13/cv2/conv/weight_quantizer/QuantizeLinear + /model.13/cv2/conv/Conv,0.00845749,0.008448,0.449576,model.13,cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.13/cv2/act/Sigmoid, /model.13/cv2/act/Mul)",0.00638293,0.006336,0.339299,model.13,cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl121_0,0.00610282,0.00608,0.324409,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_CastMulMinMaxRounCastResh_myl122_0,0.00635232,0.006336,0.337672,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.14/Resize,0.00719962,0.007136,0.382712,model.14,,False,False,False,False,False,other,False,QAT
__myl_Resh_myl124_0,0.00612563,0.00608,0.325622,NMS/foreign,,False,False,False,False,False,other,False,QAT
model.16.cv1.conv.weight + /model.16/cv1/conv/weight_quantizer/QuantizeLinear + /model.16/cv1/conv/Conv,0.00935449,0.00928,0.497259,model.16,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.16/cv1/act/Sigmoid, /model.16/cv1/act/Mul)",0.00661876,0.006592,0.351835,model.16,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCastResh_myl127_0,0.00611564,0.00608,0.32509,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.16.m.0.cv2.conv.weight + /model.16/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/cv2/conv/Conv + PWN(/model.16/m.0/cv2/act/Sigmoid, /model.16/m.0/cv2/act/Mul)",0.0085195,0.008448,0.452873,model.16,m.0/cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"Reformatting CopyNode for Output Tensor 0 to model.16.m.0.cv2.conv.weight + /model.16/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/cv2/conv/Conv + PWN(/model.16/m.0/cv2/act/Sigmoid, /model.16/m.0/cv2/act/Mul)",0.00876747,0.008704,0.466054,model.16,m.0/cv2,True,True,True,True,True,reformat,True,QAT
model.16.m.0.cv1.conv.weight + /model.16/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/cv1/conv/Conv,0.00820824,0.008192,0.436327,model.16,m.0/cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.16/m.0/cv1/act/Sigmoid, /model.16/m.0/cv1/act/Mul)",0.00686883,0.006848,0.365128,model.16,m.0/cv1,False,False,True,True,False,standalone-SiLU,False,QAT
/model.16/m.0/m/m.0/cv1/conv/input_quantizer/QuantizeLinear,0.00877053,0.008736,0.466217,model.16,m.0/m/m.0/cv1,True,True,False,False,False,conv-only,True,QAT
model.16.m.0.m.0.cv1.conv.weight + /model.16/m.0/m/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/m/m.0/cv1/conv/Conv,0.00998837,0.009984,0.530954,model.16,m.0/m/m.0/cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.16/m.0/m/m.0/cv1/act/Sigmoid, /model.16/m.0/m/m.0/cv1/act/Mul)",0.00711213,0.007104,0.378061,model.16,m.0/m/m.0/cv1,False,False,True,True,False,standalone-SiLU,False,QAT
model.16.m.0.m.0.cv2.conv.weight + /model.16/m.0/m/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/m/m.0/cv2/conv/Conv,0.00984837,0.009824,0.523512,model.16,m.0/m/m.0/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.16/m.0/m/m.0/cv2/act/Sigmoid, /model.16/m.0/m/m.0/cv2/act/Mul), /model.16/m.0/m/m.0/Add)",0.00720643,0.007136,0.383074,model.16,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
/model.16/m.0/m/m.1/cv1/conv/input_quantizer/QuantizeLinear,0.00889624,0.008832,0.472899,model.16,m.0/m/m.1/cv1,True,True,False,False,False,conv-only,True,QAT
model.16.m.0.m.1.cv1.conv.weight + /model.16/m.0/m/m.1/cv1/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/m/m.1/cv1/conv/Conv,0.00983876,0.009856,0.523001,model.16,m.0/m/m.1/cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.16/m.0/m/m.1/cv1/act/Sigmoid, /model.16/m.0/m/m.1/cv1/act/Mul)",0.00712793,0.007104,0.378901,model.16,m.0/m/m.1/cv1,False,False,True,True,False,standalone-SiLU,False,QAT
model.16.m.0.m.1.cv2.conv.weight + /model.16/m.0/m/m.1/cv2/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/m/m.1/cv2/conv/Conv,0.00964047,0.009632,0.512461,model.16,m.0/m/m.1/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.16/m.0/m/m.1/cv2/act/Sigmoid, /model.16/m.0/m/m.1/cv2/act/Mul), /model.16/m.0/m/m.1/Add)",0.00739101,0.00736,0.392885,model.16,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_ReshTranReshSlicReshTranReshSlicConcReshTran_myl142_0,0.00633709,0.006336,0.336862,NMS/foreign,,False,False,False,False,False,other,False,QAT
"model.16.m.0.cv3.conv.weight + /model.16/m.0/cv3/conv/weight_quantizer/QuantizeLinear + /model.16/m.0/cv3/conv/Conv + PWN(/model.16/m.0/cv3/act/Sigmoid, /model.16/m.0/cv3/act/Mul)",0.00845985,0.008448,0.449702,model.16,m.0/cv3,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_CastMulMinMaxRounCast_myl144_0,0.00678321,0.006816,0.360577,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
