name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
/model.10/m/m.0/attn/Split_18,0.00601465,0.005984,0.374025,model.10,m/m.0/attn,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/Reshape_2,0.0,0.0,0.0,model.10,,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/MatMul_1,0.0188294,0.018784,1.17092,model.10,,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/Reshape_1,0.0,0.0,0.0,model.10,,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/pe/conv/Conv + /model.10/m/m.0/attn/Add,0.00902985,0.009024,0.561528,model.10,m/m.0/attn/pe,True,False,False,False,False,attention,False,PTQ
Reformatting CopyNode for Input Tensor 0 to /model.10/m/m.0/attn/proj/conv/Conv + /model.10/m/m.0/Add,0.00878122,0.008672,0.546067,model.10,m/m.0/attn/proj,True,False,False,False,True,reformat,False,PTQ
/model.10/m/m.0/attn/proj/conv/Conv + /model.10/m/m.0/Add,0.00831111,0.008288,0.516833,model.10,m/m.0/attn/proj,True,False,False,False,False,attention,False,PTQ
"/model.10/m/m.0/ffn/ffn.0/conv/Conv + PWN(PWN(/model.10/m/m.0/ffn/ffn.0/act/Sigmoid), PWN(/model.10/m/m.0/ffn/ffn.0/act/Mul))",0.0082199,0.008224,0.511161,model.10,m/m.0/ffn/ffn.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.10/m/m.0/ffn/ffn.1/conv/Conv + /model.10/m/m.0/Add_1,0.0084883,0.008448,0.527851,model.10,m/m.0/ffn/ffn.1,True,False,False,False,False,conv-only,False,PTQ
/model.10/Split_output_0 copy,0.00609946,0.006112,0.3793,model.10,,False,False,False,False,False,other,False,PTQ
/model.10/m/m.0/Add_1_output_0 copy,0.00593624,0.00592,0.36915,model.10,,False,False,False,False,False,other,False,PTQ
"/model.10/cv2/conv/Conv + PWN(PWN(/model.10/cv2/act/Sigmoid), PWN(/model.10/cv2/act/Mul))",0.00837545,0.008352,0.520834,model.10,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.11/Resize,0.00699623,0.006976,0.435066,model.11,,False,False,False,False,False,other,False,PTQ
/model.11/Resize_output_0 copy,0.00675077,0.006688,0.419802,model.11,,False,False,False,False,False,other,False,PTQ
